SenderReputation,EmailGrammar,ContainsLinks,UrgencyLanguage,PhishingEmail,UserAwareness,ClickLink,AccountCompromised
good,good,no,no,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,yes,yes,no,high,no,no
suspicious,poor,no,yes,yes,low,yes,yes
good,poor,no,no,no,low,no,no
good,good,no,no,no,low,yes,yes
good,good,yes,no,no,low,no,no
good,poor,yes,yes,no,high,no,no
good,good,no,yes,no,high,no,no
good,good,no,no,no,high,no,no
good,poor,yes,yes,no,high,no,no
good,poor,no,no,no,low,no,no
good,good,yes,no,no,low,no,no
good,good,no,yes,no,high,no,no
suspicious,good,no,no,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,no,no,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,no,yes,no,low,no,no
good,poor,no,no,no,low,no,no
good,good,yes,no,no,low,no,no
suspicious,poor,no,no,yes,high,yes,yes
good,good,yes,yes,no,low,yes,yes
good,poor,yes,yes,yes,low,yes,no
good,good,no,yes,no,high,no,no
good,good,no,yes,no,high,no,no
good,poor,yes,no,no,high,no,no
good,good,no,no,no,high,no,no
good,poor,yes,yes,no,low,no,no
good,good,no,no,no,high,no,no
good,poor,yes,yes,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,no,no,yes,low,yes,no
good,good,no,no,no,low,no,no
good,good,yes,no,no,low,no,no
good,good,yes,no,no,high,no,no
suspicious,good,yes,no,no,high,no,no
good,good,yes,yes,yes,high,yes,yes
suspicious,good,yes,no,no,high,no,no
suspicious,poor,no,no,yes,low,yes,no
suspicious,good,yes,no,yes,low,yes,yes
good,good,yes,yes,no,high,no,no
suspicious,good,no,no,no,high,no,no
suspicious,good,no,no,yes,low,yes,yes
suspicious,good,yes,yes,yes,high,no,no
good,good,yes,yes,yes,low,yes,no
suspicious,good,yes,yes,yes,low,yes,yes
good,good,yes,no,yes,high,yes,yes
good,poor,no,no,no,high,no,no
good,good,no,yes,no,low,yes,yes
good,poor,yes,no,no,high,no,no
good,poor,yes,yes,no,low,no,no
good,good,no,yes,no,low,no,no
good,good,yes,no,no,high,no,no
good,poor,no,yes,no,low,yes,no
good,good,no,yes,no,high,no,no
good,good,yes,yes,yes,low,yes,yes
good,good,no,no,no,low,no,no
good,good,yes,no,no,high,no,no
good,good,no,no,no,high,no,no
good,good,no,no,no,low,yes,yes
good,good,yes,no,no,low,no,no
good,good,no,yes,no,high,no,no
suspicious,good,yes,no,no,high,no,no
good,good,no,no,no,high,no,no
good,good,no,no,no,low,yes,yes
good,good,yes,yes,no,low,no,no
good,good,no,no,no,low,yes,yes
suspicious,good,yes,yes,yes,high,yes,no
good,good,yes,yes,no,high,no,no
good,poor,yes,no,no,high,no,no
suspicious,good,yes,yes,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,no,no,no,high,yes,yes
good,good,no,no,no,high,no,no
good,good,no,yes,no,low,yes,yes
good,good,yes,yes,yes,low,yes,yes
good,poor,yes,no,yes,low,yes,yes
good,poor,yes,no,no,low,no,no
good,good,yes,no,no,high,no,no
suspicious,poor,no,yes,yes,low,yes,yes
good,poor,no,no,no,high,no,no
good,good,yes,no,no,high,no,no
good,good,yes,yes,no,high,no,no
suspicious,good,yes,yes,yes,high,yes,yes
suspicious,good,no,yes,yes,high,yes,yes
good,good,yes,yes,no,high,no,no
good,good,no,yes,no,high,no,no
good,good,yes,yes,no,high,no,no
good,good,no,yes,no,low,no,no
good,good,no,no,no,high,no,no
good,good,yes,no,no,high,no,no
suspicious,good,yes,no,no,high,no,no
good,poor,yes,no,no,low,no,no
good,good,yes,yes,no,high,no,no
suspicious,good,no,no,yes,low,yes,yes
good,good,no,yes,no,low,no,no
good,good,yes,no,no,low,no,no
good,good,yes,no,no,low,no,no
